type,customer_input,bot_reply
Complaint,I have been overcharged,I'm sorry for the trouble. Could you please share your bill details so I can verify and help you raise a correction request?
Complaint,My issue is not solved yet,I apologize for the inconvenience. Let me recheck your case and escalate it to the concerned team.
General Query,How do I download your app?,"Our mobile app is available on Google Play Store and Apple App Store. Search for ""XYZ Telecom""."
General Query,What payment methods do you accept?,"We accept UPI, debit/credit cards, net banking, wallets, and cash at stores."
General Query,How can I contact support?,"You can contact us through this chat, our app, website, or by calling 198."
General Query,Do you have 5G services?,"Yes, we provide 5G in selected cities. May I know your location to check availability?"
General Query,Where is the nearest XYZ Telecom store?,You can find the nearest store by visiting our website or app and using the Store Locator feature.
General Query,What is your customer care number?,Our customer care helpline is 198 (toll-free). You can also chat with me anytime.
General Query,What is 5G?,"5G is the fifth-generation mobile network that offers faster internet, low latency, and better connectivity."
General Query,What is a Wi-Fi mesh system?,A Wi-Fi mesh system uses multiple nodes to provide seamless coverage throughout your home.
General Query,What is a router extender?,An extender helps boost Wi-Fi signals to cover areas with weak connectivity.
General Query,What is broadband?,Broadband is high-speed internet access through wired or wireless connections.
General Query,What is Ethernet?,Ethernet is a wired networking technology that provides stable and fast connections.
Complaint,The internet disconnects every night,Thank you for reporting this. It could be scheduled maintenance. I’ll check the logs and escalate it to our team.
Complaint,My internet stops working when there is rain,I understand your concern. Weather can affect the connection. I’ll register this as a complaint for a field inspection.
